graph_name_original,dataset_original,role_original,node,degree_original,strength_original,clustering_original,weighted_clustering_original,local_efficiency_original,degree_centrality_original,betweenness_centrality_original,closeness_centrality_original,eigenvector_centrality_original,pagerank_original,community_id_original,graph_name_backbone,dataset_backbone,role_backbone,degree_backbone,strength_backbone,clustering_backbone,weighted_clustering_backbone,local_efficiency_backbone,degree_centrality_backbone,betweenness_centrality_backbone,closeness_centrality_backbone,eigenvector_centrality_backbone,pagerank_backbone,community_id_backbone,dataset,original_graph,backbone_graph,present_in_original,present_in_backbone,degree_centrality_delta,degree_centrality_abs_delta,betweenness_centrality_delta,betweenness_centrality_abs_delta,closeness_centrality_delta,closeness_centrality_abs_delta,eigenvector_centrality_delta,eigenvector_centrality_abs_delta,pagerank_delta,pagerank_abs_delta
pems-bay,pems-bay,original,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,13,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32773096561403e-41,0.0004688965301656768,14,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,0.0,0.0,-2.568586725440392e-33,2.568586725440392e-33,0.0,0.0
pems-bay,pems-bay,original,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,14,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32773096561403e-41,0.0004688965301656768,15,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,0.0,0.0,-2.568586725440392e-33,2.568586725440392e-33,0.0,0.0
pems-bay,pems-bay,original,10,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.06381689838518033,3.3418857649940123e-07,0.0021931452315144973,0,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.0637954806289871,3.4908209186929293e-07,0.0022394746729392312,0,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-2.1417756193228832e-05,2.1417756193228832e-05,1.4893515369891706e-08,1.4893515369891706e-08,4.632944142473391e-05,4.632944142473391e-05
pems-bay,pems-bay,original,100,5,2.8822704553604126,1.0,0.4911619938684118,1.0,0.015432098765432098,0.0,0.07217745058067535,3.11361981315321e-06,0.002210848658430244,11,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,5,2.8822704553604126,1.0,0.4911619938684118,1.0,0.015432098765432098,0.0,0.07216481975280609,3.3887517874490013e-06,0.002268859928516887,12,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-1.2630827869258843e-05,1.2630827869258843e-05,2.751319742957914e-07,2.751319742957914e-07,5.8011270086642894e-05,5.8011270086642894e-05
pems-bay,pems-bay,original,101,9,3.938135802745819,0.6666666666666666,0.3115780293736705,0.8333333333333334,0.027777777777777776,0.0,0.05969288283638668,1.4212236784781898e-08,0.0026527733501808823,3,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,9,3.938135802745819,0.6666666666666666,0.3115780293736705,0.8333333333333334,0.027777777777777776,0.0,0.059684243368524716,2.709454653182022e-08,0.00265834818867241,3,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-8.639467861962236e-06,8.639467861962236e-06,1.2882309747038322e-08,1.2882309747038322e-08,5.57483849152789e-06,5.57483849152789e-06
pems-bay,pems-bay,original,102,23,10.56473870575428,0.42292490118577075,0.21104662807489358,0.6949934123847163,0.07098765432098765,0.10428849902534112,0.08841291184652003,6.834115318823148e-05,0.004461976437439742,0,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,17,9.418774470686913,0.4264705882352941,0.25385124166176654,0.6985294117647057,0.05246913580246913,0.104326720941788,0.08838170645472726,5.0579596554052736e-05,0.004294620521923085,0,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,-0.018518518518518517,0.018518518518518517,3.8221916446881665e-05,3.8221916446881665e-05,-3.1205391792771264e-05,3.1205391792771264e-05,-1.7761556634178747e-05,1.7761556634178747e-05,-0.00016735591551665652,0.00016735591551665652
pems-bay,pems-bay,original,103,15,8.88908076286316,0.7619047619047619,0.4418960674085376,0.8809523809523809,0.046296296296296294,0.003153308106868478,0.06782200881619385,1.2140199188600014e-06,0.003601798003105673,6,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,13,8.566478282213211,0.7564102564102564,0.49147889074749274,0.8782051282051282,0.040123456790123455,0.003153308106868478,0.06780706547709518,1.4151930140520717e-06,0.0036157143488341746,6,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,-0.006172839506172839,0.006172839506172839,0.0,0.0,-1.4943339098669184e-05,1.4943339098669184e-05,2.0117309519207022e-07,2.0117309519207022e-07,1.3916345728501485e-05,1.3916345728501485e-05
pems-bay,pems-bay,original,104,13,4.921937584877014,0.5128205128205128,0.21761409655925945,0.7307692307692302,0.040123456790123455,0.034896609716011155,0.05588082097497467,3.537866110907512e-08,0.0030503327138322947,5,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,13,4.921937584877014,0.5,0.21325728544673803,0.7243589743589738,0.040123456790123455,0.03548904942093796,0.05585281483414159,7.743444738735086e-08,0.0030600100085859585,5,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0005924397049268046,0.0005924397049268046,-2.8006140833078397e-05,2.8006140833078397e-05,4.205578627827574e-08,4.205578627827574e-08,9.677294753663787e-06,9.677294753663787e-06
pems-bay,pems-bay,original,105,11,5.827184855937958,0.6909090909090909,0.3652800101392993,0.8454545454545455,0.033950617283950615,0.011141688644268623,0.05805334355827518,9.729076709285402e-08,0.0027777962525545184,2,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,10,5.695338755846024,0.6888888888888889,0.3969101122264779,0.8444444444444444,0.030864197530864196,0.011141688644268623,0.05804164562008714,9.686013038446082e-08,0.0027979255108016602,2,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,-0.0030864197530864196,0.0030864197530864196,0.0,0.0,-1.1697938188046098e-05,1.1697938188046098e-05,-4.3063670839320383e-10,4.3063670839320383e-10,2.0129258247141794e-05,2.0129258247141794e-05
pems-bay,pems-bay,original,106,8,4.9717568308115005,0.9285714285714286,0.5273397095166451,0.9642857142857143,0.024691358024691357,9.55547911172266e-05,0.06275381563702803,2.5311725797981005e-08,0.0032136880981780097,3,pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,8,4.9717568308115005,0.9285714285714286,0.5273397095166451,0.9642857142857143,0.024691358024691357,9.55547911172266e-05,0.06274426749350653,4.44763857576867e-08,0.0032214875398419236,3,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-9.548143521498353e-06,9.548143521498353e-06,1.9164659959705697e-08,1.9164659959705697e-08,7.799441663913949e-06,7.799441663913949e-06
