graph_name,dataset,role,source,target,path_length
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,98,2
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,94,3
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,68,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,8,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,67,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,69,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,52,5
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,96,5
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,7,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,81,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,71,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,62,7
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,86,8
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,85,8
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,87,9
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,93,14
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,55,15
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,64,16
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,79,16
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,56,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,84,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,82,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,51,19
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,76,20
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,54,20
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,61,20
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,57,22
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,90,23
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,96,1
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,94,3
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,98,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,81,4
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,86,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,85,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,71,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,8,10
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,93,12
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,79,14
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,87,15
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,84,16
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,82,16
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,76,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,90,21
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,98,6
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,87,7
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,94,7
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,96,9
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,81,10
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,86,12
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,85,12
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,93,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,84,22
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,82,22
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,90,27
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,64,1
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,45,1
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,23,1
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,30,2
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,49,2
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,320,2
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,251,2
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,93,3
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,146,3
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,79,3
