graph_name,dataset,role,source,target,weight,edge_overlap
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,2,201,0.6162293553352356,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,4,202,0.6467342972755432,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,4,20,0.46065831184387207,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,104,0.511533260345459,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,5,184,0.5115564465522766,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,6,20,0.9050489664077759,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,96,0.6553107500076294,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,8,191,0.754143476486206,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,10,46,0.8794770836830139,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,11,60,0.7368704676628113,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,11,113,0.790931761264801,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,13,204,0.5828820466995239,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,45,0.6470409631729126,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,23,0.45395445823669434,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,64,0.8359671831130981,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,138,0.504627525806427,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,15,114,0.5467389225959778,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,15,240,0.5029683113098145,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,17,135,0.8371191024780273,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,18,24,0.46510204672813416,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,18,217,0.7785102128982544,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,20,128,0.6429352760314941,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,20,312,0.5555046200752258,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,21,98,0.7529698610305786,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,22,287,0.38981443643569946,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,22,309,0.41082340478897095,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,24,176,0.7730035185813904,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,24,212,0.5866918563842773,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,25,218,0.9459856748580933,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,26,31,0.7214546799659729,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,26,121,0.7505518198013306,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,26,217,0.5041433572769165,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,26,55,0.4551585614681244,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,27,156,0.8389484286308289,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,27,288,0.6834892630577087,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,27,289,0.5132229924201965,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,27,297,0.5620514154434204,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,29,143,0.8104055523872375,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,29,239,0.4898871183395386,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,30,45,0.4422883987426758,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,31,84,0.4830433428287506,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,31,109,0.5088974237442017,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,31,219,0.66722172498703,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,32,114,0.5179986953735352,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,32,306,0.800930380821228,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,32,307,0.5005972385406494,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,94,0.4965530335903168,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,96,0.4863930642604828,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,108,0.9104465246200562,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,123,0.9846346378326416,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,127,0.8055000305175781,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,228,0.4390048682689667,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,240,0.8491044044494629,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,35,143,0.636155903339386,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,35,238,0.6586982607841492,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,36,246,0.726614236831665,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,36,118,0.6274523735046387,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,36,124,0.7427934408187866,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,38,205,0.6298421621322632,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,40,219,0.39088109135627747,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,43,184,0.11515023559331894,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,43,185,0.11389295011758804,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,43,191,0.5536932945251465,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,45,251,0.8751638531684875,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,45,133,0.32751426100730896,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,46,115,0.8393948674201965,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,46,50,0.44098708033561707,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,47,117,0.8934624195098877,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,48,60,0.751129150390625,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,48,147,0.7926225662231445,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,49,138,0.48338478803634644,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,51,109,0.4861421287059784,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,51,225,0.5685374736785889,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,52,69,0.7569721341133118,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,54,218,0.78352952003479,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,55,131,0.26449957489967346,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,55,221,0.5199026465415955,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,56,217,0.9717095494270325,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,57,90,0.7822670936584473,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,57,211,0.7828450798988342,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,58,70,0.34096667170524597,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,60,91,0.7037891149520874,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,61,223,0.5604726672172546,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,61,178,0.518973708152771,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,62,237,0.49194592237472534,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,62,86,0.6343120336532593,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,62,100,0.7618140578269958,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,64,320,0.576946496963501,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,67,94,0.9845465421676636,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,68,170,0.48454636335372925,0.0
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,68,171,0.48160988092422485,0.0
