graph_name,dataset,role,source,target,path_length
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,37,1
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,142,1
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,36,1
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,143,1
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,13,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,24,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,42,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,125,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,145,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,54,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,111,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,115,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,67,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,118,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,58,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,114,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,116,2
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,62,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,194,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,53,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,168,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,169,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,109,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,95,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,120,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,167,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,117,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,175,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,40,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,73,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,176,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,140,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,199,3
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,110,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,171,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,173,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,51,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,147,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,25,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,139,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,10,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,61,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,72,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,102,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,190,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,39,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,57,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,68,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,71,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,74,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,98,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,103,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,119,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,205,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,70,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,52,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,137,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,164,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,83,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,113,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,122,4
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,55,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,201,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,11,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,85,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,108,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,132,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,179,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,202,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,112,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,49,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,129,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,56,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,123,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,31,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,156,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,141,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,22,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,94,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,19,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,20,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,47,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,76,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,90,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,69,5
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,106,6
