graph_name,dataset,role,source,target,path_length
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,37,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,142,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,145,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,36,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,115,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,143,1
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,42,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,54,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,111,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,125,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,13,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,67,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,118,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,58,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,114,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,116,2
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,24,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,169,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,95,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,53,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,62,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,40,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,140,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,199,3
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,168,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,109,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,173,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,120,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,110,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,167,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,70,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,102,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,190,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,176,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,117,4
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,171,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,51,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,179,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,202,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,25,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,139,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,201,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,103,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,68,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,98,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,71,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,72,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,113,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,205,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,10,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,83,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,122,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,61,5
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,132,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,112,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,7,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,45,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,55,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,178,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,107,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,22,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,175,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,119,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,20,6
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,69,6
