horizon,mae,rmse,mape
1,1.0204278230667114,1.9178982973098755,39980040.0
2,1.3667566776275635,2.7000997066497803,39959248.0
3,1.6331459283828735,3.33445143699646,40026036.0
4,1.854844570159912,3.8587918281555176,40112904.0
5,2.053901195526123,4.300474643707275,40191872.0
6,2.233508348464966,4.684622764587402,40112744.0
7,2.3994362354278564,5.026802062988281,40157176.0
8,2.5505995750427246,5.334781169891357,40112204.0
9,2.695284128189087,5.615763187408447,40167500.0
10,2.832331657409668,5.872304916381836,40174252.0
11,2.959510326385498,6.114983558654785,40225392.0
12,3.091114044189453,6.340538501739502,40199536.0
