horizon,mae,rmse,mape
1,3.593418598175049,6.827919006347656,7748936704.0
2,4.644965171813965,8.619439125061035,13175810048.0
3,5.123849391937256,9.69711971282959,14135153664.0
4,5.61655330657959,10.623080253601074,15989705728.0
5,6.080521583557129,11.4607515335083,17282994176.0
6,6.552453517913818,12.220403671264648,19724380160.0
7,7.002607345581055,12.864070892333984,21022253056.0
8,7.530078887939453,13.45075511932373,23252103168.0
9,7.859530925750732,13.980386734008789,24047435776.0
10,8.323263168334961,14.438904762268066,26876960768.0
11,8.701006889343262,14.834282875061035,28561602560.0
12,8.995807647705078,15.181866645812988,29067737088.0
