horizon,mae,rmse,mape
1,4.922494411468506,8.350807189941406,14430867456.0
2,5.500626564025879,9.360118865966797,14510494720.0
3,6.079812049865723,10.278626441955566,15232287744.0
4,6.278969764709473,11.187301635742188,20431663104.0
5,6.746018409729004,11.754612922668457,20307527680.0
6,7.406189441680908,12.432052612304688,22636810240.0
7,7.837493896484375,12.9520902633667,23457650688.0
8,8.157571792602539,13.399474143981934,23681906688.0
9,8.761392593383789,14.01387882232666,27998146560.0
10,8.848118782043457,14.310361862182617,27847049216.0
11,9.304302215576172,14.646376609802246,27706550272.0
12,9.695473670959473,15.026379585266113,29125826560.0
