horizon,mae,rmse,mape
1,1.4752905368804932,2.8022701740264893,112018.6640625
2,1.668592929840088,3.239414691925049,112071.421875
3,1.9290125370025635,3.775202751159668,112013.21875
4,2.110908269882202,4.224351406097412,112021.6640625
5,2.269299030303955,4.613715171813965,112210.765625
6,2.469405174255371,4.9916815757751465,111901.0625
7,2.5968658924102783,5.196948528289795,111892.734375
8,2.671694040298462,5.4457688331604,112209.6796875
9,2.8328444957733154,5.780582427978516,112224.125
10,2.972975730895996,5.99737024307251,112363.0390625
11,3.034759044647217,6.121636867523193,112229.2734375
12,3.1984446048736572,6.341939926147461,111825.5703125
