graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
wikivital-mathematics,wikivital-mathematics,original,0,533,654.0,0.08505550931738351,0.006858065629663275,0.5065060634698918,0.49953139643861294,0.07077002420168804,1.1294858937132117,0.1478948041877162,0.007993408070246025,0
wikivital-mathematics,wikivital-mathematics,original,1,177,248.0,0.21661530559835646,0.018802676852262147,0.6011599041260091,0.16588566073102157,0.015063022034445126,1.0603883143696544,0.06831204399745668,0.002953967674076079,0
wikivital-mathematics,wikivital-mathematics,original,2,133,194.0,0.3033720665299613,0.027193613334479717,0.6462178172704484,0.1246485473289597,0.006884004099572564,1.0558832671027238,0.07146026098680638,0.00217191780720647,0
wikivital-mathematics,wikivital-mathematics,original,3,201,275.0,0.21517412935323382,0.018821215405965142,0.5971600331674826,0.18837863167760074,0.012592040804349012,0.9881619264091807,0.07553948217164885,0.003057207747528511,4
wikivital-mathematics,wikivital-mathematics,original,4,201,321.0,0.2815422885572139,0.02773607122613075,0.6367330016583642,0.18837863167760074,0.01769835376282672,1.0266534989597744,0.13849730304988056,0.003275079317330628,1
wikivital-mathematics,wikivital-mathematics,original,5,189,263.0,0.2470449172576832,0.022056152172202848,0.6204735637359725,0.17713214620431117,0.013185556198791406,1.0875900279947341,0.10278979839794253,0.00284097908951171,0
wikivital-mathematics,wikivital-mathematics,original,6,40,53.0,0.23717948717948717,0.02122147753742526,0.6008547008547019,0.03748828491096533,0.00440606246490079,0.9281750042400185,0.01603196952941369,0.0007689573003713308,3
wikivital-mathematics,wikivital-mathematics,original,7,62,78.0,0.21205711263881544,0.017880225285797597,0.5661025912215735,0.05810684161199625,0.0012194619561981892,0.9355399333009755,0.021669099863383532,0.0010280055379528156,0
wikivital-mathematics,wikivital-mathematics,original,8,27,35.0,0.42165242165242167,0.035709265498606195,0.7041785375118705,0.025304592314901595,0.0017497463562336582,0.817206131756448,0.012070476188689234,0.0005440567572699393,3
wikivital-mathematics,wikivital-mathematics,original,9,49,66.0,0.4302721088435374,0.036803446788714785,0.6678004535147385,0.04592314901593252,0.00012636973285703486,0.8195207259270483,0.013917909251073213,0.0008334567871784532,4
wikivital-mathematics,wikivital-mathematics,original,10,123,150.0,0.3719845395175263,0.029713154766007267,0.6829046159314056,0.11527647610121837,0.0004654385091900803,0.8955837942431953,0.04855786080959734,0.001729515742647874,0
wikivital-mathematics,wikivital-mathematics,original,11,134,189.0,0.29053978229154975,0.025924338039534013,0.6364044439456924,0.12558575445173384,0.003597387441993929,0.9472150695420177,0.05278646133157479,0.002157982309761222,0
wikivital-mathematics,wikivital-mathematics,original,12,98,122.0,0.42415316642120765,0.033304876517615774,0.7084297636580371,0.09184629803186505,0.0023558625739918174,0.8999939635512039,0.042539122446660985,0.0014367386986451867,0
wikivital-mathematics,wikivital-mathematics,original,13,169,239.0,0.2508453085376162,0.02183848700982337,0.610876303184017,0.1583880037488285,0.03580269391410725,1.0077570804863158,0.053772695108805425,0.002738635251148384,0
wikivital-mathematics,wikivital-mathematics,original,14,109,152.0,0.3348623853211009,0.026095790162892187,0.6461377279419974,0.10215557638238051,0.020589413938672155,0.8538625041941105,0.034732993050071215,0.0021334166831119138,0
wikivital-mathematics,wikivital-mathematics,original,15,65,82.0,0.5596153846153846,0.045445773833551535,0.7784455128205131,0.06091846298031865,3.452356042247921e-05,0.8627949036442659,0.03518555436692885,0.0009713045876769874,0
wikivital-mathematics,wikivital-mathematics,original,16,109,141.0,0.3309548080190282,0.026844639524487672,0.6612583531543738,0.10215557638238051,0.0023114713858123086,0.9396148817435315,0.04496659926973577,0.0016683326892196386,0
wikivital-mathematics,wikivital-mathematics,original,17,108,153.0,0.29854620976116303,0.02549978569666986,0.6415426329756501,0.10121836925960638,0.006188550993051868,0.947820587930484,0.0376780713652956,0.0017775032655874235,4
wikivital-mathematics,wikivital-mathematics,original,18,91,132.0,0.24761904761904763,0.022882414978650394,0.6128408628408631,0.08528584817244611,0.0020492394203734405,0.9591086500411276,0.040536147774922295,0.001572217470457125,3
wikivital-mathematics,wikivital-mathematics,original,19,51,77.0,0.36470588235294116,0.035163909597643435,0.6797385620915026,0.04779756326148079,0.0010353823529584152,0.8540823531766035,0.022155521392999804,0.0009989166028370286,3
wikivital-mathematics,wikivital-mathematics,original,20,90,134.0,0.24818976279650437,0.023253898455807172,0.6174781523096124,0.08434864104967198,0.004033327773812837,0.9366091407902399,0.03633166514538178,0.0016258201747283002,3
wikivital-mathematics,wikivital-mathematics,original,21,77,115.0,0.2894736842105263,0.027522959844484496,0.64166097060834,0.07216494845360825,0.0019872911165456923,0.9482614818234365,0.03247722273125536,0.0014415249355865104,3
wikivital-mathematics,wikivital-mathematics,original,22,135,191.0,0.18706467661691542,0.01598172074750618,0.57898470609914,0.12652296157450796,0.011507344389297952,1.0218846056788091,0.05535259431280115,0.002154873679172697,1
wikivital-mathematics,wikivital-mathematics,original,23,109,142.0,0.2708120965001699,0.02275924240562833,0.6277891040887944,0.10215557638238051,0.0027703249729902992,0.9154300334412294,0.04034569281352444,0.0016310229701503815,4
wikivital-mathematics,wikivital-mathematics,original,24,54,80.0,0.27882599580712786,0.02410020762761635,0.5917773119030962,0.05060918462980319,0.0023371314797012576,0.8568758499756609,0.01900643121791568,0.001024094148930274,4
wikivital-mathematics,wikivital-mathematics,original,25,133,177.0,0.3434723171565277,0.029540711070696366,0.6698374724690527,0.1246485473289597,0.0021277241323758803,0.9798696113074997,0.07997721158203608,0.001866102504120934,1
wikivital-mathematics,wikivital-mathematics,original,26,88,109.0,0.36964472309299895,0.028431408367194086,0.6814263322883994,0.08247422680412371,0.0004975673475799197,0.8691114062519536,0.03650806055265723,0.0012753723112187924,4
wikivital-mathematics,wikivital-mathematics,original,27,77,103.0,0.284688995215311,0.02428097443278312,0.6351105035315587,0.07216494845360825,0.004612616311132778,1.0186827069173203,0.03841459666355041,0.0012066279727765805,1
wikivital-mathematics,wikivital-mathematics,original,28,50,60.0,0.42775510204081635,0.033925444185509905,0.6914285714285713,0.046860356138706656,0.0002781896671763405,0.7554988359174672,0.01418537559118683,0.000838383158172259,0
wikivital-mathematics,wikivital-mathematics,original,29,105,158.0,0.24212454212454212,0.024532994331360455,0.5897435897435739,0.09840674789128398,0.0052910322711680535,0.8801663323029955,0.03890885512860653,0.001973553681683397,0
wikivital-mathematics,wikivital-mathematics,original,30,132,187.0,0.30314596345130695,0.02634246125426625,0.6489127920425657,0.12371134020618557,0.0043282748179655365,1.0052508013612733,0.06200412007279876,0.0021284944590976703,0
wikivital-mathematics,wikivital-mathematics,original,31,27,33.0,0.20797720797720798,0.017247177643095014,0.5079772079772071,0.025304592314901595,0.0009831464319772088,0.731788566109832,0.006708554002977985,0.0005099199805230643,0
wikivital-mathematics,wikivital-mathematics,original,32,81,107.0,0.5070987654320988,0.04185433702989006,0.7440329218107026,0.07591377694470477,0.0020155416622602935,0.919323898194493,0.035190726282461206,0.0013236237904677565,0
wikivital-mathematics,wikivital-mathematics,original,33,170,273.0,0.1712495649147233,0.01633311365727912,0.5725026105116727,0.15932521087160262,0.040644456680413533,1.044503146824037,0.05694803634060951,0.0033882317963277605,3
wikivital-mathematics,wikivital-mathematics,original,34,34,47.0,0.30303030303030304,0.025885553975052367,0.6393345216874632,0.031865042174320526,0.0014246886892439737,0.8254781856942166,0.012418623089058563,0.0007080068626665248,5
wikivital-mathematics,wikivital-mathematics,original,35,57,60.0,0.7368421052631579,0.05134735444285736,0.8499373433583961,0.053420805998125584,0.0003245643803853509,0.8282320181729605,0.02328752116069537,0.0008119578814752197,0
wikivital-mathematics,wikivital-mathematics,original,36,70,93.0,0.22732919254658385,0.01989248496409368,0.5915804002760569,0.06560449859418932,0.00065639770505247,0.8853166543826748,0.030238243448721537,0.0011269246407114568,0
