graph_name,dataset,role,source,target,weight,edge_overlap
wikivital-mathematics,wikivital-mathematics,original,0,1,1.0,0.23344947735191637
wikivital-mathematics,wikivital-mathematics,original,0,2,4.0,0.2116788321167883
wikivital-mathematics,wikivital-mathematics,original,0,3,2.0,0.23025210084033612
wikivital-mathematics,wikivital-mathematics,original,0,4,2.0,0.23857868020304568
wikivital-mathematics,wikivital-mathematics,original,0,5,5.0,0.2698412698412698
wikivital-mathematics,wikivital-mathematics,original,0,6,4.0,0.06133828996282528
wikivital-mathematics,wikivital-mathematics,original,0,7,4.0,0.07427536231884058
wikivital-mathematics,wikivital-mathematics,original,0,8,2.0,0.03525046382189239
wikivital-mathematics,wikivital-mathematics,original,0,9,1.0,0.04129263913824058
wikivital-mathematics,wikivital-mathematics,original,0,10,2.0,0.1657754010695187
wikivital-mathematics,wikivital-mathematics,original,0,11,1.0,0.14457831325301204
wikivital-mathematics,wikivital-mathematics,original,0,12,3.0,0.152014652014652
wikivital-mathematics,wikivital-mathematics,original,0,13,4.0,0.16279069767441862
wikivital-mathematics,wikivital-mathematics,original,0,14,1.0,0.1449016100178891
wikivital-mathematics,wikivital-mathematics,original,0,15,2.0,0.11194029850746269
wikivital-mathematics,wikivital-mathematics,original,0,16,2.0,0.170018281535649
wikivital-mathematics,wikivital-mathematics,original,0,17,2.0,0.11518324607329843
wikivital-mathematics,wikivital-mathematics,original,0,18,1.0,0.11669658886894076
wikivital-mathematics,wikivital-mathematics,original,0,19,1.0,0.07380073800738007
wikivital-mathematics,wikivital-mathematics,original,0,20,1.0,0.12093862815884476
wikivital-mathematics,wikivital-mathematics,original,0,21,1.0,0.10545454545454545
wikivital-mathematics,wikivital-mathematics,original,0,22,1.0,0.15625
wikivital-mathematics,wikivital-mathematics,original,0,23,1.0,0.10535405872193437
wikivital-mathematics,wikivital-mathematics,original,0,24,2.0,0.05405405405405406
wikivital-mathematics,wikivital-mathematics,original,0,25,1.0,0.1649122807017544
wikivital-mathematics,wikivital-mathematics,original,0,26,2.0,0.1336996336996337
wikivital-mathematics,wikivital-mathematics,original,0,27,1.0,0.09549549549549549
wikivital-mathematics,wikivital-mathematics,original,0,28,1.0,0.05063291139240506
wikivital-mathematics,wikivital-mathematics,original,0,29,1.0,0.10801393728222997
wikivital-mathematics,wikivital-mathematics,original,0,30,2.0,0.22324723247232472
wikivital-mathematics,wikivital-mathematics,original,0,31,1.0,0.023853211009174313
wikivital-mathematics,wikivital-mathematics,original,0,32,1.0,0.125
wikivital-mathematics,wikivital-mathematics,original,0,33,1.0,0.17028380634390652
wikivital-mathematics,wikivital-mathematics,original,0,34,1.0,0.054104477611940295
wikivital-mathematics,wikivital-mathematics,original,0,35,3.0,0.09906542056074766
wikivital-mathematics,wikivital-mathematics,original,0,36,1.0,0.0867992766726944
wikivital-mathematics,wikivital-mathematics,original,0,37,1.0,0.24561403508771928
wikivital-mathematics,wikivital-mathematics,original,0,38,1.0,0.2058319039451115
wikivital-mathematics,wikivital-mathematics,original,0,39,2.0,0.11375212224108659
wikivital-mathematics,wikivital-mathematics,original,0,40,2.0,0.07913669064748201
wikivital-mathematics,wikivital-mathematics,original,0,41,2.0,0.20376712328767124
wikivital-mathematics,wikivital-mathematics,original,0,42,2.0,0.16891891891891891
wikivital-mathematics,wikivital-mathematics,original,0,43,1.0,0.06469500924214418
wikivital-mathematics,wikivital-mathematics,original,0,44,2.0,0.18491921005385997
wikivital-mathematics,wikivital-mathematics,original,0,45,1.0,0.26182432432432434
wikivital-mathematics,wikivital-mathematics,original,0,46,3.0,0.14411247803163443
wikivital-mathematics,wikivital-mathematics,original,0,47,6.0,0.06569343065693431
wikivital-mathematics,wikivital-mathematics,original,0,48,1.0,0.2413793103448276
wikivital-mathematics,wikivital-mathematics,original,0,49,1.0,0.0868824531516184
wikivital-mathematics,wikivital-mathematics,original,0,50,1.0,0.13893967093235832
wikivital-mathematics,wikivital-mathematics,original,0,51,1.0,0.044563279857397504
wikivital-mathematics,wikivital-mathematics,original,0,52,1.0,0.018656716417910446
wikivital-mathematics,wikivital-mathematics,original,0,53,1.0,0.031423290203327174
wikivital-mathematics,wikivital-mathematics,original,0,54,2.0,0.11151736745886655
wikivital-mathematics,wikivital-mathematics,original,0,55,1.0,0.21096345514950166
wikivital-mathematics,wikivital-mathematics,original,0,56,3.0,0.26245847176079734
wikivital-mathematics,wikivital-mathematics,original,0,57,1.0,0.054003724394785846
wikivital-mathematics,wikivital-mathematics,original,0,58,1.0,0.02214022140221402
wikivital-mathematics,wikivital-mathematics,original,0,59,1.0,0.03171641791044776
wikivital-mathematics,wikivital-mathematics,original,0,60,1.0,0.1836734693877551
wikivital-mathematics,wikivital-mathematics,original,0,61,1.0,0.18485915492957747
wikivital-mathematics,wikivital-mathematics,original,0,62,1.0,0.3476190476190476
wikivital-mathematics,wikivital-mathematics,original,0,63,1.0,0.2564102564102564
wikivital-mathematics,wikivital-mathematics,original,0,64,1.0,0.30185497470489037
wikivital-mathematics,wikivital-mathematics,original,0,65,1.0,0.05904059040590406
wikivital-mathematics,wikivital-mathematics,original,0,66,3.0,0.13743218806509946
wikivital-mathematics,wikivital-mathematics,original,0,67,1.0,0.11469534050179211
wikivital-mathematics,wikivital-mathematics,original,0,68,1.0,0.11586452762923351
wikivital-mathematics,wikivital-mathematics,original,0,69,1.0,0.04081632653061224
wikivital-mathematics,wikivital-mathematics,original,0,70,1.0,0.34726688102893893
wikivital-mathematics,wikivital-mathematics,original,0,71,2.0,0.26534296028880866
wikivital-mathematics,wikivital-mathematics,original,0,72,1.0,0.20108695652173914
wikivital-mathematics,wikivital-mathematics,original,0,73,3.0,0.2029520295202952
wikivital-mathematics,wikivital-mathematics,original,0,74,1.0,0.0633147113594041
wikivital-mathematics,wikivital-mathematics,original,0,75,2.0,0.23357664233576642
wikivital-mathematics,wikivital-mathematics,original,0,76,1.0,0.28146853146853146
wikivital-mathematics,wikivital-mathematics,original,0,77,3.0,0.19964028776978418
wikivital-mathematics,wikivital-mathematics,original,0,78,2.0,0.17558528428093645
wikivital-mathematics,wikivital-mathematics,original,0,79,2.0,0.18232044198895028
wikivital-mathematics,wikivital-mathematics,original,0,80,1.0,0.19055944055944055
wikivital-mathematics,wikivital-mathematics,original,0,81,2.0,0.22743682310469315
wikivital-mathematics,wikivital-mathematics,original,0,82,1.0,0.16636851520572452
wikivital-mathematics,wikivital-mathematics,original,0,83,3.0,0.2060931899641577
