graph_name,dataset,role,node,community_id,community_size
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,270,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,263,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,260,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,273,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,261,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,262,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,272,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,269,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,265,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,259,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,268,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,264,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,229,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,267,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,271,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,266,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,258,0,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,76,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,31,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,221,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,55,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,61,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,40,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,223,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,26,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,103,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,179,1,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,122,1,15
