graph_name_original,dataset_original,role_original,node,degree_original,strength_original,clustering_original,weighted_clustering_original,local_efficiency_original,degree_centrality_original,betweenness_centrality_original,closeness_centrality_original,eigenvector_centrality_original,pagerank_original,community_id_original,graph_name_backbone,dataset_backbone,role_backbone,degree_backbone,strength_backbone,clustering_backbone,weighted_clustering_backbone,local_efficiency_backbone,degree_centrality_backbone,betweenness_centrality_backbone,closeness_centrality_backbone,eigenvector_centrality_backbone,pagerank_backbone,community_id_backbone,dataset,original_graph,backbone_graph,present_in_original,present_in_backbone,degree_centrality_delta,degree_centrality_abs_delta,betweenness_centrality_delta,betweenness_centrality_abs_delta,closeness_centrality_delta,closeness_centrality_abs_delta,eigenvector_centrality_delta,eigenvector_centrality_abs_delta,pagerank_delta,pagerank_abs_delta
pems-bay,pems-bay,original,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,13,,,,,,,,,,,,,,,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,False,,,,,,,,,,
pems-bay,pems-bay,original,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,14,,,,,,,,,,,,,,,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,False,,,,,,,,,,
pems-bay,pems-bay,original,10,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.06381689838518033,3.3418857649940123e-07,0.0021931452315144973,0,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.8794770836830139,0.0,0.0,0.0,0.005235602094240838,0.0,0.006858775096763802,1.4602061652481177e-29,0.004239133187305494,15.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.00711007691810484,0.00711007691810484,0.0,0.0,-0.056958123288416526,0.056958123288416526,-3.3418857649940123e-07,3.3418857649940123e-07,0.0020459879557909967,0.0020459879557909967
pems-bay,pems-bay,original,100,5,2.8822704553604126,1.0,0.4911619938684118,1.0,0.015432098765432098,0.0,0.07217745058067535,3.11361981315321e-06,0.002210848658430244,11,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.7618140578269958,0.0,0.0,0.0,0.005235602094240838,0.0,0.004984123529812565,2.1838157091448792e-41,0.004305987990003531,18.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.01019649667119126,0.01019649667119126,0.0,0.0,-0.06719332705086278,0.06719332705086278,-3.11361981315321e-06,3.11361981315321e-06,0.0020951393315732873,0.0020951393315732873
pems-bay,pems-bay,original,101,9,3.938135802745819,0.6666666666666666,0.3115780293736705,0.8333333333333334,0.027777777777777776,0.0,0.05969288283638668,1.4212236784781898e-08,0.0026527733501808823,3,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.75192791223526,0.0,0.0,0.0,0.005235602094240838,0.0,0.022871815478170847,0.050057192259625016,0.003313519327119854,2.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.02254217568353694,0.02254217568353694,0.0,0.0,-0.03682106735821583,0.03682106735821583,0.05005717804738823,0.05005717804738823,0.0006607459769389715,0.0006607459769389715
pems-bay,pems-bay,original,102,23,10.56473870575428,0.42292490118577075,0.21104662807489358,0.6949934123847163,0.07098765432098765,0.10428849902534112,0.08841291184652003,6.834115318823148e-05,0.004461976437439742,0,,,,,,,,,,,,,,,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,False,,,,,,,,,,
pems-bay,pems-bay,original,103,15,8.88908076286316,0.7619047619047619,0.4418960674085376,0.8809523809523809,0.046296296296296294,0.003153308106868478,0.06782200881619385,1.2140199188600014e-06,0.003601798003105673,6,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.7091724276542664,0.0,0.0,0.0,0.005235602094240838,0.0,0.021945165785258913,2.8686748804793256e-07,0.0035852569438091864,1.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.04106069420205546,0.04106069420205546,-0.003153308106868478,0.003153308106868478,-0.045876843030934936,0.045876843030934936,-9.271524308120689e-07,9.271524308120689e-07,-1.6541059296486683e-05,1.6541059296486683e-05
pems-bay,pems-bay,original,104,13,4.921937584877014,0.5128205128205128,0.21761409655925945,0.7307692307692302,0.040123456790123455,0.034896609716011155,0.05588082097497467,3.537866110907512e-08,0.0030503327138322947,5,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.6567226052284241,0.0,0.0,0.0,0.005235602094240838,0.0,0.021853631666537594,0.040239064605970924,0.002961234415162068,3.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.03488785469588262,0.03488785469588262,-0.034896609716011155,0.034896609716011155,-0.034027189308437074,0.034027189308437074,0.04023902922730981,0.04023902922730981,-8.90982986702267e-05,8.90982986702267e-05
pems-bay,pems-bay,original,105,11,5.827184855937958,0.6909090909090909,0.3652800101392993,0.8454545454545455,0.033950617283950615,0.011141688644268623,0.05805334355827518,9.729076709285402e-08,0.0027777962525545184,2,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,3.0,1.70086869597435,0.0,0.0,0.0,0.015706806282722516,0.009644530173601543,0.01635490432819528,2.8217483848537716e-10,0.007650745783159954,8.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.0182438110012281,0.0182438110012281,-0.0014971584706670801,0.0014971584706670801,-0.0416984392300799,0.0416984392300799,-9.700859225436865e-08,9.700859225436865e-08,0.004872949530605436,0.004872949530605436
pems-bay,pems-bay,original,106,8,4.9717568308115005,0.9285714285714286,0.5273397095166451,0.9642857142857143,0.024691358024691357,9.55547911172266e-05,0.06275381563702803,2.5311725797981005e-08,0.0032136880981780097,3,pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,1.0,0.7544533014297485,0.0,0.0,0.0,0.005235602094240838,0.0,0.023740215458728793,0.07497674191723773,0.0031228591315772937,2.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_3,True,True,-0.01945575593045052,0.01945575593045052,-9.55547911172266e-05,9.55547911172266e-05,-0.03901360017829924,0.03901360017829924,0.07497671660551193,0.07497671660551193,-9.082896660071596e-05,9.082896660071596e-05
