graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
metr-la,metr-la,original,0,18,6.319080047309399,0.5032679738562091,0.17761064455086378,0.7396514161220048,0.08737864077669902,0.05735259294340516,0.08012959206247301,0.00031801634123281925,0.005714130616737479,3
metr-la,metr-la,original,1,15,6.7979824766516685,0.5142857142857142,0.22251460844392426,0.7539682539682541,0.07281553398058252,0.0042150130239166465,0.06788324307451384,0.00031312366471661287,0.00650875403956219,2
metr-la,metr-la,original,2,14,6.122775852680206,0.5274725274725275,0.22346517008751723,0.7619047619047619,0.06796116504854369,0.0075301918067724365,0.06824703622407134,0.00013716748617659702,0.005855490467838279,2
metr-la,metr-la,original,3,17,7.2322384640574455,0.6691176470588235,0.2678664253936129,0.8345588235294118,0.08252427184466019,0.0036466966611413687,0.06781280707174375,0.10879018298176941,0.005120240454934395,1
metr-la,metr-la,original,4,20,7.783867135643959,0.5894736842105263,0.2171369672001854,0.7894736842105264,0.09708737864077668,0.023158891783092588,0.06981709809055558,0.09495420271615133,0.005629880304263871,1
metr-la,metr-la,original,5,17,6.971523627638817,0.6176470588235294,0.24183362933138733,0.8051470588235294,0.08252427184466019,0.05337437840397821,0.06834673474629535,0.078725298191558,0.0052147180778468645,1
metr-la,metr-la,original,6,12,3.8587899804115295,0.6666666666666666,0.21490284682611877,0.8333333333333334,0.058252427184466014,0.005162206961875444,0.061905978305364984,0.01760808303330956,0.0036910403273629354,1
metr-la,metr-la,original,7,19,7.143117122352123,0.32748538011695905,0.1298296662949981,0.6286549707602346,0.09223300970873785,0.05773147051858868,0.0700954591999441,8.483624192421348e-05,0.007037438015953434,2
metr-la,metr-la,original,8,7,3.754454992711544,0.7619047619047619,0.3910941987068508,0.8809523809523809,0.03398058252427184,0.0,0.04657538675079818,3.8900994240613776e-06,0.004274666252226983,0
metr-la,metr-la,original,9,10,3.3701082468032837,0.6666666666666666,0.24026404797757822,0.8296296296296295,0.04854368932038834,0.0,0.05555701976519197,1.8399769118147515e-05,0.0034481057962998693,0
metr-la,metr-la,original,10,10,3.8864182829856873,0.4,0.15342099117465643,0.5222222222222223,0.04854368932038834,0.03769831873076012,0.07501232757633851,0.0017484576812891648,0.004644349194372077,4
metr-la,metr-la,original,11,15,5.621229149401188,0.45714285714285713,0.15898748386713005,0.7190476190476192,0.07281553398058252,0.0765332701870708,0.06697421722515155,1.826870163265851e-05,0.006003951021129073,2
metr-la,metr-la,original,12,21,7.2678497433662415,0.6142857142857143,0.2108454316755327,0.8023809523809522,0.10194174757281553,0.08193227563343594,0.0703062297946461,0.15837899730846816,0.004797395103382487,1
metr-la,metr-la,original,13,18,7.123161964118481,0.39215686274509803,0.16363756428956458,0.6176470588235294,0.08737864077669902,0.14529955008287948,0.08193034575952306,0.00014648991676058246,0.006693705966733832,3
metr-la,metr-la,original,14,11,5.258863627910614,0.6,0.28727973977362004,0.8,0.05339805825242718,0.0001894387875917594,0.049378216868314735,9.549898656151782e-06,0.005441635346706664,0
metr-la,metr-la,original,15,17,7.505417533218861,0.6617647058823529,0.26144381299406827,0.8308823529411765,0.08252427184466019,0.017854605730523325,0.06957122577817729,0.07984604279985531,0.005562617553580751,1
metr-la,metr-la,original,16,25,6.891327500343323,0.4166666666666667,0.11791654808378368,0.6897222222222211,0.12135922330097086,0.01302391664693346,0.06777167389059834,0.018922093157517264,0.006508388645331195,1
metr-la,metr-la,original,17,17,7.8831129893660545,0.7058823529411765,0.30349294817902306,0.8529411764705882,0.08252427184466019,0.015960217854605732,0.06843134236667184,0.16965717986859263,0.0051618170158633896,1
metr-la,metr-la,original,18,5,2.2595233768224716,0.7,0.30112549007858097,0.85,0.02427184466019417,0.0,0.03526386451646226,3.2707263836194156e-09,0.00513161540265171,5
