horizon,mae,rmse,mape
1,3.3364198207855225,7.151176929473877,5681627136.0
2,3.9272449016571045,8.58939266204834,7977428992.0
3,4.474703788757324,9.660271644592285,10057711616.0
4,4.970744609832764,10.581751823425293,12039287808.0
5,5.537027835845947,11.353202819824219,13789710336.0
6,6.1079559326171875,12.066366195678711,17316349952.0
7,6.49691915512085,12.656250953674316,18754897920.0
8,6.936832427978516,13.191590309143066,20815794176.0
9,7.347118377685547,13.630372047424316,21616910336.0
10,7.745540142059326,14.08248233795166,24512921600.0
11,8.071407318115234,14.468865394592285,25797797888.0
12,8.471177101135254,14.849781036376953,27631415296.0
