horizon,mae,rmse,mape
1,1.2140394449234009,2.2020320892333984,111322.875
2,1.4670544862747192,2.7816109657287598,111307.0546875
3,1.6729892492294312,3.2655014991760254,111449.515625
4,1.8549273014068604,3.6657497882843018,111547.3046875
5,2.003464460372925,3.9949839115142822,111553.7265625
6,2.139249086380005,4.276071071624756,111304.203125
7,2.260282516479492,4.520747661590576,111244.203125
8,2.3688807487487793,4.735157489776611,111289.5859375
9,2.468576669692993,4.926574230194092,111291.3671875
10,2.563091516494751,5.101913928985596,111276.0234375
11,2.6534576416015625,5.266122341156006,111427.6640625
12,2.7473514080047607,5.424671649932861,111365.359375
