graph_name,dataset,role,node,community_id,community_size
wikivital-mathematics,wikivital-mathematics,original,1030,0,335
wikivital-mathematics,wikivital-mathematics,original,90,0,335
wikivital-mathematics,wikivital-mathematics,original,791,0,335
wikivital-mathematics,wikivital-mathematics,original,1002,0,335
wikivital-mathematics,wikivital-mathematics,original,44,0,335
wikivital-mathematics,wikivital-mathematics,original,224,0,335
wikivital-mathematics,wikivital-mathematics,original,742,0,335
wikivital-mathematics,wikivital-mathematics,original,590,0,335
wikivital-mathematics,wikivital-mathematics,original,72,0,335
wikivital-mathematics,wikivital-mathematics,original,97,0,335
wikivital-mathematics,wikivital-mathematics,original,506,0,335
wikivital-mathematics,wikivital-mathematics,original,158,0,335
wikivital-mathematics,wikivital-mathematics,original,103,0,335
wikivital-mathematics,wikivital-mathematics,original,354,0,335
wikivital-mathematics,wikivital-mathematics,original,113,0,335
wikivital-mathematics,wikivital-mathematics,original,600,0,335
wikivital-mathematics,wikivital-mathematics,original,413,0,335
wikivital-mathematics,wikivital-mathematics,original,746,0,335
wikivital-mathematics,wikivital-mathematics,original,606,0,335
wikivital-mathematics,wikivital-mathematics,original,877,0,335
wikivital-mathematics,wikivital-mathematics,original,51,0,335
wikivital-mathematics,wikivital-mathematics,original,367,0,335
wikivital-mathematics,wikivital-mathematics,original,114,0,335
wikivital-mathematics,wikivital-mathematics,original,864,0,335
wikivital-mathematics,wikivital-mathematics,original,873,0,335
wikivital-mathematics,wikivital-mathematics,original,878,0,335
wikivital-mathematics,wikivital-mathematics,original,967,0,335
wikivital-mathematics,wikivital-mathematics,original,874,0,335
wikivital-mathematics,wikivital-mathematics,original,593,0,335
wikivital-mathematics,wikivital-mathematics,original,47,0,335
wikivital-mathematics,wikivital-mathematics,original,783,0,335
wikivital-mathematics,wikivital-mathematics,original,1067,0,335
wikivital-mathematics,wikivital-mathematics,original,802,0,335
wikivital-mathematics,wikivital-mathematics,original,338,0,335
wikivital-mathematics,wikivital-mathematics,original,664,0,335
wikivital-mathematics,wikivital-mathematics,original,869,0,335
wikivital-mathematics,wikivital-mathematics,original,862,0,335
wikivital-mathematics,wikivital-mathematics,original,794,0,335
wikivital-mathematics,wikivital-mathematics,original,584,0,335
wikivital-mathematics,wikivital-mathematics,original,669,0,335
wikivital-mathematics,wikivital-mathematics,original,177,0,335
wikivital-mathematics,wikivital-mathematics,original,463,0,335
wikivital-mathematics,wikivital-mathematics,original,162,0,335
wikivital-mathematics,wikivital-mathematics,original,390,0,335
wikivital-mathematics,wikivital-mathematics,original,386,0,335
wikivital-mathematics,wikivital-mathematics,original,349,0,335
wikivital-mathematics,wikivital-mathematics,original,797,0,335
wikivital-mathematics,wikivital-mathematics,original,717,0,335
wikivital-mathematics,wikivital-mathematics,original,508,0,335
wikivital-mathematics,wikivital-mathematics,original,323,0,335
wikivital-mathematics,wikivital-mathematics,original,85,0,335
wikivital-mathematics,wikivital-mathematics,original,714,0,335
wikivital-mathematics,wikivital-mathematics,original,703,0,335
wikivital-mathematics,wikivital-mathematics,original,722,0,335
wikivital-mathematics,wikivital-mathematics,original,933,0,335
wikivital-mathematics,wikivital-mathematics,original,692,0,335
wikivital-mathematics,wikivital-mathematics,original,397,0,335
wikivital-mathematics,wikivital-mathematics,original,707,0,335
wikivital-mathematics,wikivital-mathematics,original,105,0,335
wikivital-mathematics,wikivital-mathematics,original,384,0,335
wikivital-mathematics,wikivital-mathematics,original,710,0,335
wikivital-mathematics,wikivital-mathematics,original,799,0,335
wikivital-mathematics,wikivital-mathematics,original,178,0,335
wikivital-mathematics,wikivital-mathematics,original,763,0,335
wikivital-mathematics,wikivital-mathematics,original,287,0,335
wikivital-mathematics,wikivital-mathematics,original,897,0,335
wikivital-mathematics,wikivital-mathematics,original,42,0,335
wikivital-mathematics,wikivital-mathematics,original,715,0,335
wikivital-mathematics,wikivital-mathematics,original,355,0,335
wikivital-mathematics,wikivital-mathematics,original,711,0,335
wikivital-mathematics,wikivital-mathematics,original,91,0,335
wikivital-mathematics,wikivital-mathematics,original,15,0,335
wikivital-mathematics,wikivital-mathematics,original,745,0,335
wikivital-mathematics,wikivital-mathematics,original,462,0,335
wikivital-mathematics,wikivital-mathematics,original,71,0,335
wikivital-mathematics,wikivital-mathematics,original,399,0,335
wikivital-mathematics,wikivital-mathematics,original,719,0,335
wikivital-mathematics,wikivital-mathematics,original,81,0,335
wikivital-mathematics,wikivital-mathematics,original,150,0,335
wikivital-mathematics,wikivital-mathematics,original,183,0,335
wikivital-mathematics,wikivital-mathematics,original,591,0,335
wikivital-mathematics,wikivital-mathematics,original,32,0,335
wikivital-mathematics,wikivital-mathematics,original,708,0,335
wikivital-mathematics,wikivital-mathematics,original,333,0,335
wikivital-mathematics,wikivital-mathematics,original,380,0,335
wikivital-mathematics,wikivital-mathematics,original,706,0,335
wikivital-mathematics,wikivital-mathematics,original,152,0,335
wikivital-mathematics,wikivital-mathematics,original,35,0,335
wikivital-mathematics,wikivital-mathematics,original,403,0,335
wikivital-mathematics,wikivital-mathematics,original,168,0,335
wikivital-mathematics,wikivital-mathematics,original,958,0,335
wikivital-mathematics,wikivital-mathematics,original,672,0,335
wikivital-mathematics,wikivital-mathematics,original,40,0,335
wikivital-mathematics,wikivital-mathematics,original,666,0,335
wikivital-mathematics,wikivital-mathematics,original,173,0,335
wikivital-mathematics,wikivital-mathematics,original,586,0,335
wikivital-mathematics,wikivital-mathematics,original,1029,0,335
wikivital-mathematics,wikivital-mathematics,original,102,0,335
wikivital-mathematics,wikivital-mathematics,original,76,0,335
wikivital-mathematics,wikivital-mathematics,original,10,0,335
wikivital-mathematics,wikivital-mathematics,original,844,0,335
wikivital-mathematics,wikivital-mathematics,original,381,0,335
wikivital-mathematics,wikivital-mathematics,original,336,0,335
wikivital-mathematics,wikivital-mathematics,original,772,0,335
wikivital-mathematics,wikivital-mathematics,original,16,0,335
wikivital-mathematics,wikivital-mathematics,original,964,0,335
wikivital-mathematics,wikivital-mathematics,original,139,0,335
wikivital-mathematics,wikivital-mathematics,original,607,0,335
wikivital-mathematics,wikivital-mathematics,original,747,0,335
wikivital-mathematics,wikivital-mathematics,original,676,0,335
wikivital-mathematics,wikivital-mathematics,original,108,0,335
wikivital-mathematics,wikivital-mathematics,original,2,0,335
wikivital-mathematics,wikivital-mathematics,original,845,0,335
wikivital-mathematics,wikivital-mathematics,original,69,0,335
wikivital-mathematics,wikivital-mathematics,original,798,0,335
wikivital-mathematics,wikivital-mathematics,original,394,0,335
wikivital-mathematics,wikivital-mathematics,original,563,0,335
wikivital-mathematics,wikivital-mathematics,original,159,0,335
wikivital-mathematics,wikivital-mathematics,original,843,0,335
wikivital-mathematics,wikivital-mathematics,original,389,0,335
wikivital-mathematics,wikivital-mathematics,original,461,0,335
wikivital-mathematics,wikivital-mathematics,original,643,0,335
wikivital-mathematics,wikivital-mathematics,original,48,0,335
wikivital-mathematics,wikivital-mathematics,original,373,0,335
wikivital-mathematics,wikivital-mathematics,original,911,0,335
wikivital-mathematics,wikivital-mathematics,original,540,0,335
wikivital-mathematics,wikivital-mathematics,original,902,0,335
wikivital-mathematics,wikivital-mathematics,original,596,0,335
wikivital-mathematics,wikivital-mathematics,original,1026,0,335
wikivital-mathematics,wikivital-mathematics,original,659,0,335
wikivital-mathematics,wikivital-mathematics,original,648,0,335
wikivital-mathematics,wikivital-mathematics,original,36,0,335
wikivital-mathematics,wikivital-mathematics,original,782,0,335
wikivital-mathematics,wikivital-mathematics,original,535,0,335
wikivital-mathematics,wikivital-mathematics,original,60,0,335
wikivital-mathematics,wikivital-mathematics,original,744,0,335
wikivital-mathematics,wikivital-mathematics,original,671,0,335
wikivital-mathematics,wikivital-mathematics,original,151,0,335
wikivital-mathematics,wikivital-mathematics,original,741,0,335
wikivital-mathematics,wikivital-mathematics,original,893,0,335
wikivital-mathematics,wikivital-mathematics,original,39,0,335
wikivital-mathematics,wikivital-mathematics,original,401,0,335
wikivital-mathematics,wikivital-mathematics,original,391,0,335
wikivital-mathematics,wikivital-mathematics,original,110,0,335
wikivital-mathematics,wikivital-mathematics,original,326,0,335
wikivital-mathematics,wikivital-mathematics,original,604,0,335
wikivital-mathematics,wikivital-mathematics,original,649,0,335
wikivital-mathematics,wikivital-mathematics,original,564,0,335
wikivital-mathematics,wikivital-mathematics,original,415,0,335
wikivital-mathematics,wikivital-mathematics,original,762,0,335
wikivital-mathematics,wikivital-mathematics,original,408,0,335
wikivital-mathematics,wikivital-mathematics,original,663,0,335
wikivital-mathematics,wikivital-mathematics,original,680,0,335
wikivital-mathematics,wikivital-mathematics,original,861,0,335
wikivital-mathematics,wikivital-mathematics,original,54,0,335
wikivital-mathematics,wikivital-mathematics,original,171,0,335
wikivital-mathematics,wikivital-mathematics,original,382,0,335
wikivital-mathematics,wikivital-mathematics,original,316,0,335
wikivital-mathematics,wikivital-mathematics,original,395,0,335
wikivital-mathematics,wikivital-mathematics,original,721,0,335
wikivital-mathematics,wikivital-mathematics,original,11,0,335
wikivital-mathematics,wikivital-mathematics,original,952,0,335
wikivital-mathematics,wikivital-mathematics,original,992,0,335
wikivital-mathematics,wikivital-mathematics,original,839,0,335
wikivital-mathematics,wikivital-mathematics,original,838,0,335
wikivital-mathematics,wikivital-mathematics,original,68,0,335
wikivital-mathematics,wikivital-mathematics,original,393,0,335
wikivital-mathematics,wikivital-mathematics,original,735,0,335
wikivital-mathematics,wikivital-mathematics,original,50,0,335
wikivital-mathematics,wikivital-mathematics,original,743,0,335
wikivital-mathematics,wikivital-mathematics,original,45,0,335
wikivital-mathematics,wikivital-mathematics,original,601,0,335
wikivital-mathematics,wikivital-mathematics,original,14,0,335
wikivital-mathematics,wikivital-mathematics,original,498,0,335
wikivital-mathematics,wikivital-mathematics,original,181,0,335
wikivital-mathematics,wikivital-mathematics,original,645,0,335
wikivital-mathematics,wikivital-mathematics,original,1016,0,335
wikivital-mathematics,wikivital-mathematics,original,225,0,335
wikivital-mathematics,wikivital-mathematics,original,7,0,335
wikivital-mathematics,wikivital-mathematics,original,98,0,335
wikivital-mathematics,wikivital-mathematics,original,518,0,335
wikivital-mathematics,wikivital-mathematics,original,46,0,335
wikivital-mathematics,wikivital-mathematics,original,400,0,335
wikivital-mathematics,wikivital-mathematics,original,788,0,335
wikivital-mathematics,wikivital-mathematics,original,70,0,335
wikivital-mathematics,wikivital-mathematics,original,1049,0,335
wikivital-mathematics,wikivital-mathematics,original,344,0,335
wikivital-mathematics,wikivital-mathematics,original,327,0,335
wikivital-mathematics,wikivital-mathematics,original,603,0,335
wikivital-mathematics,wikivital-mathematics,original,410,0,335
wikivital-mathematics,wikivital-mathematics,original,573,0,335
wikivital-mathematics,wikivital-mathematics,original,340,0,335
wikivital-mathematics,wikivital-mathematics,original,111,0,335
wikivital-mathematics,wikivital-mathematics,original,871,0,335
wikivital-mathematics,wikivital-mathematics,original,749,0,335
wikivital-mathematics,wikivital-mathematics,original,720,0,335
wikivital-mathematics,wikivital-mathematics,original,865,0,335
