horizon,mae,rmse,mape
1,3.3023149967193604,6.667077541351318,7644119040.0
2,3.948467493057251,8.251248359680176,10027367424.0
3,4.5215654373168945,9.376060485839844,12163154944.0
4,4.994760036468506,10.29710578918457,13706472448.0
5,5.467162609100342,11.11475944519043,15412152320.0
6,5.906445503234863,11.822609901428223,17000837120.0
7,6.318334102630615,12.436403274536133,18603919360.0
8,6.71304178237915,12.9973726272583,20355203072.0
9,7.1136674880981445,13.481318473815918,21675233280.0
10,7.478245258331299,13.905993461608887,23008178176.0
11,7.758688926696777,14.288283348083496,23885180928.0
12,8.064929962158203,14.66016674041748,25065689088.0
