horizon,mae,rmse,mape
1,1.0690590143203735,2.0332388877868652,111549.0234375
2,1.397969126701355,2.7927913665771484,111443.90625
3,1.6650446653366089,3.423523187637329,111577.890625
4,1.8754281997680664,3.946923017501831,111905.2734375
5,2.0702404975891113,4.384184837341309,112014.734375
6,2.2554147243499756,4.758284568786621,111844.4609375
7,2.4332056045532227,5.092728614807129,111750.4296875
8,2.607478380203247,5.393468379974365,111583.21875
9,2.7548179626464844,5.666755199432373,111756.8125
10,2.91332745552063,5.91645622253418,111734.484375
11,3.0577118396759033,6.149166584014893,111684.2421875
12,3.1997580528259277,6.3672943115234375,111678.96875
