horizon,mae,rmse,mape
1,1.035169243812561,1.9291353225708008,40143616.0
2,1.3660485744476318,2.688805103302002,40097928.0
3,1.6217721700668335,3.306950092315674,40184052.0
4,1.8325819969177246,3.8120265007019043,40276776.0
5,2.0148322582244873,4.232615947723389,40353392.0
6,2.179835081100464,4.595137596130371,40302884.0
7,2.3308584690093994,4.915886878967285,40336288.0
8,2.4700353145599365,5.2030720710754395,40283120.0
9,2.5982139110565186,5.462484836578369,40383172.0
10,2.717555284500122,5.700958251953125,40396592.0
11,2.830944061279297,5.923687934875488,40465628.0
12,2.941596746444702,6.133655071258545,40488520.0
