horizon,mae,rmse,mape
1,1.1621613502502441,2.178834915161133,112017.34375
2,1.4097357988357544,2.7568016052246094,111919.6640625
3,1.6093798875808716,3.2432548999786377,112128.03125
4,1.7767128944396973,3.6438753604888916,112280.875
5,1.9220528602600098,3.977449417114258,112283.8515625
6,2.05263090133667,4.262640953063965,112203.2734375
7,2.171785354614258,4.512164115905762,112249.3125
8,2.2812719345092773,4.732994556427002,112194.6640625
9,2.382244825363159,4.931866645812988,112221.390625
10,2.474998712539673,5.115436553955078,112278.015625
11,2.5663952827453613,5.286186695098877,112256.09375
12,2.6559925079345703,5.449908256530762,112159.6171875
