horizon,mae,rmse,mape
1,1.0289291143417358,1.8204909563064575,112367.3828125
2,1.2850409746170044,2.4516828060150146,112210.265625
3,1.4922733306884766,2.980638027191162,112492.09375
4,1.6614388227462769,3.401242256164551,112688.40625
5,1.8003621101379395,3.738075017929077,112771.0234375
6,1.9201328754425049,4.014995574951172,112723.78125
7,2.0265696048736572,4.254759788513184,112737.5625
8,2.121898889541626,4.462281227111816,112703.03125
9,2.210803270339966,4.644955635070801,112825.484375
10,2.2926957607269287,4.816160202026367,112799.59375
11,2.3687548637390137,4.970398902893066,112878.890625
12,2.4435534477233887,5.121705055236816,112878.359375
