experiment_name,model,dataset,run_name,seed,phase,params,train_epochs_completed,train_loss_last,val_loss_normalized,val_mae,val_rmse,val_mape,val_smape,val_wape,test_loss_normalized,test_mae,test_rmse,test_mape,test_smape,test_wape
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-disp_fil-with-alpah_filter0_4,simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",17,0.28895165606119605,0.31827929177295383,5.471973419189453,11.01471996307373,13018267648.0,23.372699737548828,9.978036880493164,0.3839377259974864,6.334065914154053,12.09099006652832,18895151104.0,34.462196350097656,12.483555793762207
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-disp_fil-with-alpah_filter0_4,simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",6,0.3150780892698405,0.33114708591008857,5.856993675231934,11.234575271606445,13542228992.0,24.08949851989746,10.680112838745117,0.4028184662146546,6.825336456298828,12.384025573730469,20801755136.0,35.15635299682617,13.451780319213867
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-disp_fil-with-alpah_filter0_4,simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",12,0.2830582929548816,0.3058989162374044,5.170471668243408,10.798554420471191,12064176128.0,23.026987075805664,9.428254127502441,0.36936347491203625,5.965633392333984,11.858830451965332,17378973696.0,34.11943435668945,11.757426261901855
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-nois_corr-with-alpah_filter0_4,simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",24,0.2872301486727392,0.3170562885771288,5.340566158294678,10.993570327758789,12100016128.0,23.30013084411621,9.738417625427246,0.3803204985370285,6.130507946014404,12.03392219543457,17150254080.0,34.41435241699219,12.08237075805664
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-nois_corr-with-alpah_filter0_4,simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",6,0.3149039991229812,0.3305297803447068,5.82452917098999,11.224080085754395,13327461376.0,24.06298828125,10.620915412902832,0.40155103860127034,6.781691074371338,12.364561080932617,20439404544.0,35.14069747924805,13.365761756896973
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-nois_corr-with-alpah_filter0_4,simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",12,0.2819834766245493,0.3044953107416073,5.129249095916748,10.773576736450195,12179635200.0,22.921592712402344,9.3530855178833,0.3686615210635779,5.949277877807617,11.847607612609863,17604530176.0,34.03242874145508,11.725192070007324
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-high_sal-with-alpah_filter0_4,simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",23,0.2870045802064827,0.31918477932008626,5.426704406738281,10.941603660583496,11590106112.0,22.961626052856445,9.845449447631836,0.38593954065483865,6.204061508178711,12.024131774902344,16809423872.0,34.58150863647461,12.195188522338867
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-high_sal-with-alpah_filter0_4,simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",8,0.312069151903663,0.3302007419901474,6.066273212432861,11.127449989318848,13072542720.0,23.809772491455078,11.005793571472168,0.4042315255397948,7.0225911140441895,12.305072784423828,20847779840.0,35.29469680786133,13.804154396057129
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-high_sal-with-alpah_filter0_4,simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",15,0.2837593643683617,0.30734478946879645,5.138190746307373,10.73631763458252,13132784640.0,22.088232040405273,9.32201099395752,0.37884843634946325,6.086365699768066,11.91264820098877,20176918528.0,33.65101623535156,11.963836669921875
simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,pems-bay-by-disp_fil-with-alpah_filter0_4,simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",19,0.21152792652055882,0.2647378290746292,2.3065967559814453,4.83975887298584,134727.765625,4.7783966064453125,3.714034080505371,0.21978001245668877,2.118802070617676,4.429413318634033,111937.984375,4.278005599975586,3.392180919647217
