horizon,mae,rmse,mape
1,4.543956756591797,8.110976219177246,11472335872.0
2,5.220748424530029,9.201603889465332,12362567680.0
3,5.793372631072998,10.179597854614258,13322688512.0
4,5.9065446853637695,11.012093544006348,16906436608.0
5,6.451257228851318,11.68891429901123,18510786560.0
6,7.215069770812988,12.377652168273926,21295347712.0
7,7.588723659515381,12.940463066101074,23126188032.0
8,8.094057083129883,13.437984466552734,23943696384.0
9,8.261150360107422,13.884984970092773,25498810368.0
10,8.658256530761719,14.2642822265625,26497998848.0
11,9.112712860107422,14.648178100585938,27648272384.0
12,9.33553409576416,15.0059175491333,28222965760.0
