horizon,mae,rmse,mape
1,1.223106026649475,2.0364367961883545,111219.484375
2,1.4623442888259888,2.6497373580932617,111185.109375
3,1.6898127794265747,3.1958248615264893,111440.6015625
4,1.8727424144744873,3.64870023727417,111600.5234375
5,2.026578903198242,4.038698196411133,111696.46875
6,2.164740562438965,4.3624162673950195,111615.5390625
7,2.305474281311035,4.651229381561279,111532.3515625
8,2.4155094623565674,4.909876346588135,111571.3515625
9,2.5353481769561768,5.154550552368164,111636.7578125
10,2.654785633087158,5.37572717666626,111547.78125
11,2.7481272220611572,5.591117858886719,111571.15625
12,2.873281478881836,5.796550750732422,111560.421875
