horizon,mae,rmse,mape
1,3.4110937118530273,7.140051364898682,5514040832.0
2,4.030869007110596,8.55449390411377,8228142592.0
3,4.584986686706543,9.616055488586426,10206754816.0
4,5.107949256896973,10.509968757629395,12263914496.0
5,5.542858123779297,11.31949520111084,13359792128.0
6,6.061498641967773,12.006505012512207,16151188480.0
7,6.442326068878174,12.60506534576416,17627572224.0
8,6.874061107635498,13.127999305725098,19184330752.0
9,7.278097152709961,13.591752052307129,20194234368.0
10,7.616366863250732,14.004149436950684,21162145792.0
11,7.967441558837891,14.385285377502441,21996226560.0
12,8.35546875,14.743722915649414,23022432256.0
