graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
metr-la,metr-la,original,0,18,6.319080047309399,0.5032679738562091,0.17761064455086378,0.7396514161220048,0.08737864077669902,0.05735259294340516,0.08012959206247301,0.0003229736292979206,0.005714130616737479,3
metr-la,metr-la,original,1,15,6.7979824766516685,0.5142857142857142,0.22251460844392423,0.7539682539682542,0.07281553398058252,0.0042150130239166465,0.06788324307451384,0.00031418466411484364,0.00650875403956219,2
metr-la,metr-la,original,2,14,6.122775852680206,0.5274725274725275,0.22346517008751726,0.7619047619047619,0.06796116504854369,0.0075301918067724365,0.06824703622407134,0.0001385210175663087,0.005855490467838279,2
metr-la,metr-la,original,3,17,7.2322384640574455,0.6691176470588235,0.2678664253936128,0.8345588235294118,0.08252427184466019,0.0036466966611413687,0.06781280707174375,0.10878338599221692,0.005120240454934395,1
metr-la,metr-la,original,4,20,7.783867135643959,0.5894736842105263,0.2171369672001854,0.7894736842105264,0.09708737864077668,0.023158891783092588,0.06981709809055558,0.09494761754451946,0.005629880304263871,1
metr-la,metr-la,original,5,17,6.971523627638817,0.6176470588235294,0.24183362933138722,0.8051470588235297,0.08252427184466019,0.05337437840397821,0.06834673474629535,0.07871932537467721,0.0052147180778468645,1
metr-la,metr-la,original,6,12,3.8587899804115295,0.6666666666666666,0.21490284682611877,0.8333333333333334,0.058252427184466014,0.005162206961875444,0.061905978305364984,0.017605939689336717,0.0036910403273629354,1
metr-la,metr-la,original,7,19,7.143117122352123,0.32748538011695905,0.12982966629499806,0.6286549707602347,0.09223300970873785,0.05773147051858868,0.0700954591999441,8.639634510486788e-05,0.007037438015953434,2
metr-la,metr-la,original,8,7,3.754454992711544,0.7619047619047619,0.3910941987068508,0.8809523809523809,0.03398058252427184,0.0,0.04657538675079818,4.3311064292595794e-06,0.004274666252226983,0
metr-la,metr-la,original,9,10,3.3701082468032837,0.6666666666666666,0.2402640479775782,0.8296296296296295,0.04854368932038834,0.0,0.05555701976519197,1.9250362985352476e-05,0.0034481057962998693,0
metr-la,metr-la,original,10,10,3.8864182829856873,0.4,0.15342099117465643,0.5222222222222223,0.04854368932038834,0.03769831873076012,0.07501232757633851,0.0017512785615950257,0.004644349194372077,4
metr-la,metr-la,original,11,15,5.621229149401188,0.45714285714285713,0.15898748386713005,0.719047619047619,0.07281553398058252,0.0765332701870708,0.06697421722515155,1.9608166660869044e-05,0.006003951021129073,2
metr-la,metr-la,original,12,21,7.2678497433662415,0.6142857142857143,0.21084543167553266,0.8023809523809524,0.10194174757281553,0.08193227563343594,0.0703062297946461,0.15837397313873697,0.004797395103382487,1
metr-la,metr-la,original,13,18,7.123161964118481,0.39215686274509803,0.1636375642895646,0.6176470588235298,0.08737864077669902,0.14529955008287948,0.08193034575952306,0.0001512864764746265,0.006693705966733832,3
metr-la,metr-la,original,14,11,5.258863627910614,0.6,0.28727973977362004,0.8,0.05339805825242718,0.0001894387875917594,0.049378216868314735,1.0390436619597248e-05,0.005441635346706664,0
metr-la,metr-la,original,15,17,7.505417533218861,0.6617647058823529,0.2614438129940683,0.8308823529411765,0.08252427184466019,0.017854605730523325,0.06957122577817729,0.0798397976499852,0.005562617553580751,1
metr-la,metr-la,original,16,25,6.891327500343323,0.4166666666666667,0.11791654808378368,0.6897222222222218,0.12135922330097086,0.01302391664693346,0.06777167389059834,0.018919596352529256,0.006508388645331195,1
metr-la,metr-la,original,17,17,7.8831129893660545,0.7058823529411765,0.303492948179023,0.8529411764705882,0.08252427184466019,0.015960217854605732,0.06843134236667184,0.16965008209594168,0.0051618170158633896,1
metr-la,metr-la,original,18,5,2.2595233768224716,0.7,0.30112549007858097,0.85,0.02427184466019417,0.0,0.03526386451646226,3.987170137683246e-09,0.00513161540265171,5
metr-la,metr-la,original,19,17,7.464438229799271,0.6102941176470589,0.254201522962721,0.803921568627451,0.08252427184466019,0.0037414160549372483,0.07448504326024122,0.06430715971360984,0.0053007874544728955,4
metr-la,metr-la,original,20,17,6.628792084753513,0.5955882352941176,0.2406076059095256,0.7879901960784313,0.08252427184466019,0.05938905991001658,0.0739959214314253,0.056690556725363515,0.004791564975420885,4
metr-la,metr-la,original,21,5,2.949755072593689,0.8,0.39944908804107865,0.9,0.02427184466019417,0.00033151787828557895,0.03638210166653978,3.521105076715303e-09,0.0064932748878120785,5
metr-la,metr-la,original,22,16,7.423565976321697,0.6583333333333333,0.2990472912340906,0.8277777777777778,0.07766990291262135,0.057447312337201045,0.07524771433890047,0.04639399202014963,0.005403673110590588,4
metr-la,metr-la,original,23,5,2.1104773432016373,0.7,0.22769434275933534,0.85,0.02427184466019417,0.0,0.05001863248693778,0.0007585876844416448,0.0032743197729199034,6
metr-la,metr-la,original,24,17,7.294402211904526,0.5441176470588235,0.22153649595462904,0.7647058823529412,0.08252427184466019,0.06260951929907649,0.0775415634740408,6.648245067068113e-05,0.0065548197608965315,3
metr-la,metr-la,original,25,8,3.008776679635048,0.39285714285714285,0.1649574498378557,0.6785714285714287,0.038834951456310676,0.0005683163627752783,0.07067212164554738,3.860493289362761e-05,0.003714659637505577,2
metr-la,metr-la,original,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8680352836656863e-43,0.0007276255154014069,7
metr-la,metr-la,original,27,18,7.19230393320322,0.47058823529411764,0.198425029665327,0.7298474945533768,0.08737864077669902,0.0027942221169784515,0.06705590702955497,6.294523339487316e-05,0.006626343197355083,2
