graph_name_original,dataset_original,role_original,node,degree_original,strength_original,clustering_original,weighted_clustering_original,local_efficiency_original,degree_centrality_original,betweenness_centrality_original,closeness_centrality_original,eigenvector_centrality_original,pagerank_original,community_id_original,graph_name_backbone,dataset_backbone,role_backbone,degree_backbone,strength_backbone,clustering_backbone,weighted_clustering_backbone,local_efficiency_backbone,degree_centrality_backbone,betweenness_centrality_backbone,closeness_centrality_backbone,eigenvector_centrality_backbone,pagerank_backbone,community_id_backbone,dataset,original_graph,backbone_graph,present_in_original,present_in_backbone,degree_centrality_delta,degree_centrality_abs_delta,betweenness_centrality_delta,betweenness_centrality_abs_delta,closeness_centrality_delta,closeness_centrality_abs_delta,eigenvector_centrality_delta,eigenvector_centrality_abs_delta,pagerank_delta,pagerank_abs_delta
pems-bay,pems-bay,original,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.537342080461485e-18,0.0004688965301656768,13,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6923092054691396e-19,0.0004777830864787387,18,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,3.368111159914571e-18,3.368111159914571e-18,8.886556313061856e-06,8.886556313061856e-06
pems-bay,pems-bay,original,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.808054657839693e-18,0.0004688965301656768,14,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5452274515018876e-18,0.0004777830864787387,19,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.2353282109341582e-17,1.2353282109341582e-17,8.886556313061856e-06,8.886556313061856e-06
pems-bay,pems-bay,original,10,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.06381689838518033,2.695964537480292e-07,0.0021931452315144973,0,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,2.250320643186569,0.6666666666666666,0.3409944631202782,0.8333333333333334,0.012345679012345678,0.0,0.05395445621451373,1.1744079692686414e-07,0.0028001058508002863,2,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,0.0,0.0,0.0,0.0,-0.009862442170666598,0.009862442170666598,-1.521556568211651e-07,1.521556568211651e-07,0.000606960619285789,0.000606960619285789
pems-bay,pems-bay,original,100,5,2.8822704553604126,1.0,0.4911619938684118,1.0,0.015432098765432098,0.0,0.07217745058067535,3.0258913535122605e-06,0.002210848658430244,11,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,3,2.5341115593910217,1.0,0.8097501042852611,1.0,0.009259259259259259,0.0,0.06214576692121106,4.422770425352682e-06,0.0025729478842725436,3,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.006172839506172839,0.006172839506172839,0.0,0.0,-0.010031683659464288,0.010031683659464288,1.3968790718404211e-06,1.3968790718404211e-06,0.00036209922584229956,0.00036209922584229956
pems-bay,pems-bay,original,101,9,3.938135802745819,0.6666666666666666,0.3115780293736706,0.8333333333333334,0.027777777777777776,0.0,0.05969288283638668,1.2906567428181283e-08,0.0026527733501808823,3,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,3.5489838421344757,0.8,0.476971096108039,0.9,0.018518518518518517,0.0,0.052893620583195265,3.78247323055292e-05,0.00276000616524458,1,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.009259259259259259,0.009259259259259259,0.0,0.0,-0.006799262253191413,0.006799262253191413,3.781182573810102e-05,3.781182573810102e-05,0.0001072328150636976,0.0001072328150636976
pems-bay,pems-bay,original,102,23,10.56473870575428,0.42292490118577075,0.21104662807489352,0.6949934123847166,0.07098765432098765,0.10428849902534112,0.08841291184652003,6.0509030117247976e-05,0.004461976437439742,0,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,4.67629086971283,0.4,0.3172222836259984,0.43333333333333335,0.018518518518518517,0.07911936704506363,0.06871418124834862,1.4489618516753945e-07,0.0040140033533030955,2,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.05246913580246913,0.05246913580246913,-0.025169131980277495,0.025169131980277495,-0.019698730598171413,0.019698730598171413,-6.036413393208044e-05,6.036413393208044e-05,-0.0004479730841366464,0.0004479730841366464
pems-bay,pems-bay,original,103,15,8.88908076286316,0.7619047619047619,0.4418960674085376,0.8809523809523809,0.046296296296296294,0.003153308106868478,0.06782200881619385,5.662598451066831e-07,0.003601798003105673,6,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,6.421065241098404,0.42857142857142855,0.32409507161394113,0.6666666666666666,0.024691358024691357,0.019837174635936244,0.046981458995410535,5.836138576756416e-06,0.004798931572311378,5,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.021604938271604937,0.021604938271604937,0.016683866529067767,0.016683866529067767,-0.020840549820783316,0.020840549820783316,5.269878731649733e-06,5.269878731649733e-06,0.001197133569205705,0.001197133569205705
pems-bay,pems-bay,original,104,13,4.921937584877014,0.5128205128205128,0.21761409655925945,0.7307692307692305,0.040123456790123455,0.034896609716011155,0.05588082097497467,3.512794836309949e-08,0.0030503327138322947,5,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,3.372777536511421,0.4666666666666667,0.2959754480996542,0.6833333333333333,0.018518518518518517,0.07179987004548408,0.05006078429604309,0.00040206623008345416,0.0025148046938259167,10,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.021604938271604937,0.021604938271604937,0.03690326032947292,0.03690326032947292,-0.005820036678931578,0.005820036678931578,0.00040203110213509103,0.00040203110213509103,-0.000535528020006378,0.000535528020006378
pems-bay,pems-bay,original,105,11,5.827184855937958,0.6909090909090909,0.3652800101392992,0.8454545454545455,0.033950617283950615,0.011141688644268623,0.05805334355827518,2.632632031092739e-08,0.0027777962525545184,2,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,7,4.753728747367859,0.6190476190476191,0.44836829265464284,0.7857142857142857,0.021604938271604937,0.0022550930703665478,0.042142847817365395,0.00044915566500334473,0.0031472241151602027,0,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.012345679012345678,0.012345679012345678,-0.008886595573902076,0.008886595573902076,-0.01591049574090979,0.01591049574090979,0.0004491293386830338,0.0004491293386830338,0.00036942786260568423,0.00036942786260568423
pems-bay,pems-bay,original,106,8,4.9717568308115005,0.9285714285714286,0.5273397095166451,0.9642857142857143,0.024691358024691357,9.55547911172266e-05,0.06275381563702803,2.299788162788515e-08,0.0032136880981780097,3,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,4.4597101509571075,0.8,0.5696086548794068,0.9,0.018518518518518517,1.9110958223445322e-05,0.05554633506723107,5.244335153337431e-05,0.0033205460164352153,1,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.006172839506172839,0.006172839506172839,-7.644383289378129e-05,7.644383289378129e-05,-0.007207480569796962,0.007207480569796962,5.242035365174642e-05,5.242035365174642e-05,0.00010685791825720565,0.00010685791825720565
pems-bay,pems-bay,original,107,14,8.38010735809803,0.7472527472527473,0.4384526409921672,0.8717948717948719,0.043209876543209874,0.0014524328249818444,0.06797865326319533,1.0129238317572606e-07,0.0035149639822598974,2,pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,7.186187744140625,0.5277777777777778,0.4202031663771495,0.7546296296296297,0.027777777777777776,0.0365592630814509,0.042708121710734494,0.005241729351734102,0.004462795145698624,0,pems-bay,pems-bay,pems-bay-by-nois_corr-with-alpah_filter0_1,True,True,-0.015432098765432098,0.015432098765432098,0.03510683025646906,0.03510683025646906,-0.025270531552460833,0.025270531552460833,0.005241628059350926,0.005241628059350926,0.0009478311634387262,0.0009478311634387262
